,name,height,weight,Unnamed: 0
0,alex,1.67,51.25,
1,ajay,1.82,61.91,
2,alice,1.76,69.41,
3,ravi,1.73,64.56,
4,joe,1.72,65.45,
5,alex,1.67,51.25,
6,ajay,1.82,61.91,
7,alice,1.76,69.41,
8,ravi,1.73,64.56,
9,joe,1.72,65.45,
10,alex,1.67,51.25,
11,ajay,1.82,61.91,
12,alice,1.76,69.41,
13,ravi,1.73,64.56,
14,joe,1.72,65.45,
15,alex,0.04,23.25,0.0
16,ajay,0.05,28.08,1.0
17,alice,0.04,31.48,2.0
18,ravi,0.04,29.28,3.0
19,joe,0.04,29.69,4.0
20,alex,0.04,23.25,5.0
21,ajay,0.05,28.08,6.0
22,alice,0.04,31.48,7.0
23,ravi,0.04,29.28,8.0
24,joe,0.04,29.69,9.0
25,alex,0.04,23.25,10.0
26,ajay,0.05,28.08,11.0
27,alice,0.04,31.48,12.0
28,ravi,0.04,29.28,13.0
29,joe,0.04,29.69,14.0
30,jack,0.04,25.37,15.0
31,tom,0.04,29.11,16.0
32,tracy,0.05,28.08,17.0
33,john,0.04,23.12,18.0
34,jack,0.04,25.37,19.0
35,tom,0.04,29.11,20.0
36,tracy,0.05,28.08,21.0
37,john,0.04,23.12,22.0
38,jack,0.04,25.37,23.0
39,tom,0.04,29.11,24.0
40,tracy,0.05,28.08,25.0
41,john,0.04,23.12,26.0
42,jack,1.74,55.93,
43,tom,1.77,64.18,
44,tracy,1.78,61.9,
45,john,1.72,50.97,
46,jack,1.74,55.93,
47,tom,1.77,64.18,
48,tracy,1.78,61.9,
49,john,1.72,50.97,
50,jack,1.74,55.93,
51,tom,1.77,64.18,
52,tracy,1.78,61.9,
53,john,1.72,50.97,
